sentence_id,company,year,report_type,sentence_text,llm_label,llm_gw_risk,kee_label,kee_confidence,kee_notes
S1153,ultratech,2024,BRSR,Our R&D is also focused on developing low-carbon cement and concrete products.,V,1.00,,,
S1168,ultratech,2024,BRSR,We are committed to reduce our GHG emissions from our process and we have made significant process as compared to base year of 2017.,V,1.00,,,
S0614,tata,2023,BRSR,Pursue asset reconfiguration to achieve long term financially sustainable and low carbon future.,V,0.88,,,
S0930,tata,2026,BRSR,"In the UK, our social collaborate on low-carbon steelmaking technologies.",V,0.88,,,
S0841,tata,2025,BRSR,"emissions and factors considered and Taxonomy of Green Steel, aimed important to the quality of life of the to incentivise decarbonisation.",V,0.80,,,
S1010,tata,2026,BRSR,"Now, Tata Steel is actively advancing its green steel journey across other geographies, marking a significant transition from traditional carbon-intensive steelmaking.",V,0.80,,,
S0196,jsw,2023,BRSR,The aim is to drive meaningful 7) Air Emissions and sustainable change among communities (Direct Influence Zones & Indirect Influence Zones) across eight Air pollution has adverse effects on the environment and human health.,V,0.74,,,
S0414,tata,2021,BRR,"Additionally, Tata Steel and the Council of solution for transitioning to a low-carbon economy, Scientific & Industrial Research (CSIR) have signed an MoU we recognise the significant challenge which the steel to collaborate on CCUS.",V,0.74,,,
S0441,tata,2022,BRSR,"Our strategies on low-carbon transition, imbibing circular economy principles.",V,0.74,,,
S0558,tata,2023,BRSR,"Tata Steel continues for renewable energy, low-CO financially sustainable.",V,0.74,,,
S0612,tata,2023,BRSR,(c) Use of more expensive but green fuel to produce low carbon steel TSN 1.,V,0.74,,,
S0613,tata,2023,BRSR,"Decarbonisation of steel making operations in line with EU’s short term and long-term targets, by transitioning to green hydrogen-",V,0.74,,,
S0811,tata,2025,BRSR,"Net Zero Tata Steel is committed to responsible environmental stewardship, ensuring optimal use of natural resources while minimising ecological impact.",V,0.72,,,
S0193,jsw,2023,BRSR,"JSW technologies for reducing the environmental impacts Steel generates significant quantities of waste as a during the construction, operation and maintenance of by-product in steelmaking processes.",V,0.70,,,
S0733,tata,2024,BRSR,"In India, Tata Steel aims to achieve ZED (Zero Effluent Discharge) from Works premises and plans to build water efficient infrastructure.",V,0.70,,,
S0963,tata,2026,BRSR,"While this growth is critical for national To enable deep decarbonisation over the long term, development, it also presents significant decarbonisation Tata Steel is advancing first-of-its-kind technologies in challenges, as the sector continues to be dominated by fossil India aimed at transforming the ironmaking process.",V,0.70,,,
S0320,jsw,2025,BRSR,"To create long-term to formulate and drive our climate change mitigation value for all stakeholders, the Company has set specific strategy and actions towards a low-carbon future.",V,0.68,,,
S0148,jsw,2023,BRSR,Does the entity have any project related to reducing Green House Gas emission?,V,0.67,,,
S0391,tata,2020,BRR,a quantum reduction in emissions over 2030 to sustain river flow in the long term.,V,0.67,,,
S0420,tata,2021,BRR,Tata Steel has signed resolve towards long-term decarbonisation strategy.,V,0.67,,,
S0705,tata,2023,BRSR,Better scope reputational impact and help achieve the Net Zero target of the Company.,V,0.67,,,
S1148,ultratech,2024,BRSR,Does the entity have any project related to reducing Green House Gas emission?,V,0.67,,,
S1154,ultratech,2024,BRSR,"Our researchers are exploring new ways to develop green concrete, aimed at reducing our carbon footprint and conserving natural resources by using various SCMs, including C&D wastes.",V,0.67,,,
S0696,tata,2023,BRSR,Tata Steel’s aim is to achieve Zero Effluent discharge from Works premises and ensure completion of Zero Effluent Discharge projects under progress (for its Indian operations).,V,0.65,,,
S0197,jsw,2023,BRSR,The the operations on the environment and are committed interventions aim to leverage the long-standing trust to reducing emissions.,V,0.64,,,
S0475,tata,2022,BRSR,"supply chains, internal governance, disclosures, and policy advocacy to facilitate a transition to a low-carbon future.",V,0.62,,,
S0740,tata,2024,BRSR,Flue as it focuses on increasing the technological aim maturity of low carbon steelmaking to Coa achieve its Net Zero emissions objective 2.,V,0.62,,,
S0745,tata,2024,BRSR,ansform-ER: IUK funded project: Net Zero Heat project aimed at accelerating d industrialising domestic retrofit.,V,0.62,,,
S0180,jsw,2023,BRSR,"This plant of and investing in technology and innovation to limit 100 TPD capacity captures carbon from the exhaust environmental risks and is committed to build a gases generated by sponge iron operations, treating sustainable future for all.",V,0.61,,,
S0229,jsw,2024,BRSR,"This recognition of Karnataka -, propelling the company forward in reflects the company’s leadership and steadfast the production of low-carbon-emission steel commitment to sustainable practices, exemplified by its active involvement in developing the GreenPro Standard •",V,0.61,,,
S0150,jsw,2023,BRSR,Our roadmap to 2030 includes –  Focus on Energy and Process Efficiency  Energy Transition for De-carbonisation  Improving the raw material quality ,V,0.60,,,
S0280,jsw,2025,BRSR,Our roadmap to 2030 includes – a) Focus on Energy and Process Efficiency b) Energy Transition for De-carbonisation c) Improving the raw material quality d),V,0.60,,,
S0389,tata,2020,BRR,The pilot plant level risks for long-term supply of water for of transitioning to a lower carbon regime.,V,0.60,,,
