sentence_id,company,year,report_type,sentence_text,source,label,confidence,llm_label,llm_gw_risk,llm_top_features,kee_label,kee_confidence,kee_notes,flagged_for_qa
S0001,jsw,2019,BRR,Installation of CO2 injection system in Steel Melting Shop-1 (SMS) has improved thickener water quality in Vijayanagar further reducing fresh water consumption.,model,V,0.5807,S,0.55,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,,,N
S0002,jsw,2019,BRR,Solid waste materials such as sludge and collected dust are generated during the operation of air and water pollution control system.,manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,2,,N
S0003,jsw,2019,BRR,"During the year, Vijayanagar recycled 89% of the solid waste generated in the system.",model,V,0.5954,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.85[recycled],,,,N
S0004,jsw,2019,BRR,The Salem plant has commissioned a paver block manufacturing unit from Waste Energy Optimising Furnace (EOF) steel slag as part of waste utilisation.,model,V,0.6304,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0005,jsw,2019,BRR,"Given that integrated iron and steel plants handle large volume of solid materials, emissions of dust remain a major area of concern.",manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,1,,N
S0006,jsw,2019,BRR,"During the year, several initiatives were taken to introduce process changes that reduce emissions and strengthen the function of Dust Extraction systems.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0007,jsw,2019,BRR,• 13 new dedusting systems were commissioned to reduce 150 dust sources/transfer point emissions at Vijayanagar plant.,model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0008,jsw,2019,BRR,"This has reduced truck movements significantly and a reduction of 3.86 kg CO2/t of ore transport is • Rotating sprinklers are installed at 10mt basemix internal roads, thereby reducing road emissions.",model,V,0.6099,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,,,N
S0009,jsw,2019,BRR,• Procured new road sweeping machine for road cleaning purpose to control the fugitive emissions generation.,model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0010,jsw,2019,BRR,• Reduced dust generation due to truck movement inside the plant by installation of Tyre washing • Installation of Dry Fog system in Blast Furnace and wagon tippler reduced the fugitive dust emission which leads to improvement in ambient •,model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0011,jsw,2019,BRR,"In Dolvi, dust emissions during the material handling has reduced after the replacement and modification of the ducts of Dust Extraction (DE) System in Sinter Plant Proportionating House.",model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0012,jsw,2019,BRR,Installation of separate DE system for battery emission to reduce fugitive emission and established trash chutes with collection boxes for accumulating spillage and scrap.,manual,S,1.00,?,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],S,2,more details for data will be helpful,N
S0013,jsw,2019,BRR,Established pneumatic dust conveying and auto bagging for cyclone dust collection to reduce the dust emission during loading and handling.,manual,V,1.00,V,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],V,1,,N
S0014,jsw,2019,BRR,"These include reducing water use, recycling in less critical applications and reusing for greenery development etc.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0015,jsw,2019,BRR,• CO2 injection system is commissioned at SMS- 2 of Vijayanagar.,model,V,0.6162,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0016,jsw,2020,BRR,"pig iron, sponge iron, billets, hot rolled coils, cold rolled coils, galvanised sheets, precision tubes, black pipe, cable tapes, to carbon and special alloy steel wire rods and rounds conforming to IS and international standards.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0017,jsw,2020,BRR,"In its commitment to conserve natural resources, reduce emissions and hazardous discharges to the environment and preserve biodiversity, the Company has undertaken extensive planning and investments to reduce long-term environmental impact and risks.",manual,S,1.00,?,0.471,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; vague_adj_ratio=0.12[long-term],S,2,numeric data found,N
S0018,jsw,2020,BRR,"The efforts have been reinforced by set targets and goals that will aid the creation of lasting value for all The approach has resulted in several environmental initiatives to reduce carbon emission, conserve resources like water, energy and input materials, minimise waste and increase recirculation, recycling and enhancement of local biodiversity.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0019,jsw,2020,BRR,"Facilitated by the Corporate Sustainability Team, the CAG operates as a central think-tank, to formulate and drive the climate change mitigation strategy and actions for the Company towards a low carbon road ahead.",model,V,0.5690,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,,,N
S0020,jsw,2020,BRR,FY 2019-20 saw many initiatives to reduce emission and dust.,manual,V,1.00,?,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],V,1,,N
