sentence_id,company,year,report_type,sentence_text,label,confidence,llm_label,llm_gw_risk,llm_top_features,kee_label,kee_notes
S0033,jsw,2020,BRR,This will help reduce fresh water consumption by approximately Liquid Discharge Effluent Treatment Plant with a capacity 30 KLD to treat the effluent from Air Cooled Condenser cooling tower.,V,0.5475,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,
S0036,jsw,2020,BRR,The Company has built-in processes and capabilities to help the plants recycle and reuse the waste generated across F ollowing are the key waste management measures undertaken during the year: - V ijayanagar expanded its slag sand plant with an additional capacity of 125 tonnes per hour.,V,0.5475,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,
S0046,jsw,2021,BRR,"ons taken for social impacts are available on https://www.jsw.in/ n-program-overview E1 of Principle-6 Steel, Government of India, in its 2017 policy has included GHG el sector to a level 2.2 – 2.4tCO2 per ton of crude steel produced (tCO2/ & 2.6 – 2.7tCO2 per ton of crude steel produced (tCO2/tCS) by 2030 in ry agreed by all major steel producers as integrated in the National JSW Steel will abide by this target of Government of India The company or to create better products to address various factors including ils are provided in the Integrated Report .",S,0.5301,S,0.187,specific_tech=1.00[jsw steel|tco2]; vague_adj_ratio=0.09[better]; verb_strength=0.10[NONE],,
S0049,jsw,2021,BRR,"About 35 tonnes of waste plastic has been n, with subsequent reduction in electrical energy consumption.",V,0.5475,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],,
S0055,jsw,2021,BRR,"Tackling Climate Change With a looming climate crisis in the background, the Company has devised a climate action plan to improve its net carbon emission intensity beyond India’s Nationally Determined Contributions (NDC) and achieve more than 41% reduction by 2030 from the base year of 2005.",S,0.5096,S,0.133,vague_adj_ratio=0.00[NONE]; specific_tech=0.00[NONE]; verb_strength=0.10[NONE],,
S0057,jsw,2021,BRR,"Reducing coke in Blast Furnaces (BFs), increased Pulverised Coal Injection (PCI) and Natural Gas (NG) use in BFs • Energy efficiency and process efficiency improvements through best available • Continue efforts and collaborations towards development of deep decarbonisation technologies such as Carbon Capture Utilisation/Storage (CCUS), use of hydrogen in iron reduction etc.",V,0.5391,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,
S0058,jsw,2021,BRR,"The Company has an operating Carbon Capture Utilisation (CCU) plant at Salav facility, which is capturing carbon from the exhaust gases generated by sponge iron operations, treating and converting it to approximately 100 TPD CO (99.5% purity) and selling it to the food and beverage industry for use.",V,0.5325,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,
S0060,jsw,2021,BRR,"Multiple operational interventions were implemented during the year to further improve on the sustainability performance and aid the achievement of our targets like installation of Waste Gas Recovery at Sinter Plant 4 resulting in fuel saving, increasing TRT power generation by 22.5% from 8.03 MW in FY 2019-20 to 9.84 MW in FY 2020-21 resulting in reduction in purchased power requirement.",V,0.5042,S,0.0,vague_adj_ratio=0.00[NONE]; quantifier_count=1.00[22.5%|mw|fy 2019|fy 2020]; target_year=0.00[NONE],,
S0068,jsw,2021,BRR,"In Salem, installation of mobile de-dusting system in the Blast Furnace resulted in reduction of fugitive emission from 12,500 ug/m3 to 3,200 ug/m3.",V,0.5108,S,0.133,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,
S0079,jsw,2022,BRSR,"While the y entity that is mandated to file this report, the leadership spire to progress to a higher level in their quest to be socially, elves with integrity, and in a manner that is Ethical, mmes on any of the Principles during the financial year: %age of persons d under the training and its impact category covered by the awareness ude the Committee Meetings which have discussions 100 of BRSR including climate change, biodiversity, water, rmance Indicators, Global trends on sustainability ndustry, external ratings and disclosures, Stakeholder iality, climate change Risks and Opportunities etc. egrity and ethics, core values, code of conduct, and 100 enabling KMPs to drive company’s values, purpose f conduct, adaptive leadership programmes, and ≈40% areness by way of periodical internal communication ESG, Sustainability Initiatives at locations, Actions ndation, Environment Initiatives at locations, Life oduct Sustainability, Biodiversity & its importance for entions for Sustainable World & Safety Management.",V,0.5369,S,0.291,target_year=0.00[NONE]; vague_adj_ratio=0.04[sustainable]; verb_strength=0.10[NONE],,
S0086,jsw,2022,BRSR,"Provide details of greenhouse gas emissions (Scope 1 a Total Scope 1 emissions (Break-up of the GHG into CO2, CH4, Me N2O, HFCs, PFCs, SF6, NF3, if available) Total Scope 2 emissions (Break-up of the GHG into CO2, CH4, Me N2O, HFCs, PFCs, SF6, NF3, if available) Total Scope 1 and Scope 2 emissions per rupee of turnover Total Scope 1 and Scope 2 emission intensity (optional) – the relevant metric may be selected by the entity Note: Indicate if any independent assessment/ evaluation/ assurance has been carried out by an external agency?",V,0.5391,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,
S0090,jsw,2022,BRSR,We are also collaborating with various technology Carbon Capture Utilisation and Storage (CCUS) op d,V,0.5391,S,0.4,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],,
S0093,jsw,2022,BRSR,Financial year) etric tonnes of CO2 44211310 37523071 etric tonnes of CO2 0.038 kgCO2/` 0.048 kgCO2/` tCO2/tcs 2.50 tCO2/tcs 2.49 tCO2/tcs,V,0.5325,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,
S0095,jsw,2022,BRSR,duction target of 42% reduction over a base year of 2005 till tCO2/tcs.,V,0.5325,S,0.267,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],,
