sentence_id,company,year,report_type,sentence_text,kee_label,kee_confidence,kee_notes
S1058,ultratech,2021,BRR,This is one of the largest green product Alternative fuels are also used for thermal energy portfolio in building material industry in India.,S,2,QA conflict resolution
S0610,tata,2023,BRSR,Aligning long term capital expenditure plan with the carbon (a) Impact on operational costs from emission target of the company.,V,2,QA conflict resolution
S0760,tata,2024,BRSR,"As the global shift to a low-carbon economy gains momentum, ces by reducing greenhouse gas emissions, increasing energy efficiency, ves through innovative R&D investments.",S,2,QA conflict resolution
S1104,ultratech,2022,BRSR,The Company is committed to reduce its carbon footprint and has validated all it’s target with Science Based Target Initiative (SBTi).,V,2,QA conflict resolution
S1167,ultratech,2024,BRSR,"This helps us to be more sustainable in terms of low natural resource utilisation, save on the extraction, environmental impact of transportation on GHG and air pollution.",V,2,QA conflict resolution
S0537,tata,2023,BRSR,"Conserving precious natural resources 92 116th Year Integrated Report & Annual Accounts 2022-23 Product Solid waste sustainability management We strive to use the Life Cycle In the endeavour to develop a Assessment (LCA) tool effectively sustainable ecosystem for by-product to evaluate and communicate our management, we have been striving to products’ environmental performance create value from wastes by adopting across its lifecycle.",S,2,QA conflict resolution
S0617,tata,2023,BRSR,The There will be an enhanced demand for in cost and availability of financing GHG Protocol is sector agnostic and high strength steels (which can be used after implementation of a sustainable enables investors in their capital for lightweight and carbon efficient finance framework.,S,2,QA conflict resolution
S0720,tata,2024,BRSR,"G reenhouse Gas Emissions and Climate Change Manage Risk Rationale for identifying the risk/ Approa A significant part of Tata Steel’s production In India, is through the blast furnace route, which is route op an emission intensive process.",V,2,QA conflict resolution
S0377,tata,2020,BRR,"Integrated charging waste, R&D has successfully established a innovative coatings on steel, development infrastructure for Electric Vehicles (EV) offers process for using water-cooled and air-cooled of carbon capture and usage technologies, significant market potential.",V,2,QA conflict resolution
S1082,ultratech,2021,BRR,It has also committed to reduce Scope 1 GHG intensity by 27% The Company has already undertaken biodiversity by 2032 from the base year of 2017 and Scope 2 assessments at 8 of its Integrated Units and has taken GHG intensity by 69% within the same time frame.,S,2,QA conflict resolution
S0235,jsw,2024,BRSR,The company continuously implements process enhancements to is conducting specific biodiversity assessments achieve better water conservation.,V,2,QA conflict resolution
S1146,ultratech,2024,BRSR,"Long term mitigation measures are being worked on, which is evident in net zero road map in alignment with GCCA.",V,2,QA conflict resolution
S0619,tata,2023,BRSR,The long-term greenhouse gas accounting standards increasing the share of advanced high decarbonisation roadmap is not just for companies.,S,2,QA conflict resolution
S0620,tata,2023,BRSR,The use of GHG strength and green steel in its product based on compliance with national Protocol has also been recommended portfolio.,S,2,QA conflict resolution
S0971,tata,2026,BRSR,"To enhance (vs. FY2024-25) with over 600 green mobility vehicles now renewable integration, the Company has secured 379 MW operational for raw material and finished goods movement of round-the-clock hybrid wind–solar capacity through Tata across locations.",S,2,QA conflict resolution
S0374,tata,2020,BRR,"In FY 2019-20, the we have also lowered our coke rate, reduced to 1,200 million pascals tensile strength, 2,050 fuel rate at the blast furnace was improved waste generation, improved waste utilisation mm width and 25 mm thickness of Hot substantially through increased Pulverised and maximised energy and material Rolled Coils).",V,2,QA conflict resolution
S0597,tata,2023,BRSR,"furnaces which will reduce emissions conducted by an independent third- Tata Steel Nederland is also from one of its tube mills by at least party advisor and was fully aligned with undertaking a comprehensive project 2,000 tonnes of CO a year.",S,2,QA conflict resolution
S0572,tata,2023,BRSR,seek to progressively reduce reliance on ED&CFO of Tata Steel are also on the The National Steel Policy of India fossil fuels in India:,V,2,QA conflict resolution
S0832,tata,2025,BRSR,"Committed to decarbonisation, the Integrating TNFD related dependencies, risks, and Company is transitioning to a 3.2 MTPA Recommendations opportunities for its India operations, electric arc furnace (EAF) in the UK by leveraging third-party analytical tools.",S,2,QA conflict resolution
S0763,tata,2025,BRSR,"sales to Renault Nissan 40% Anticipated urbanisation in India by 2030 Source: Press Information Bureau 118th Year | Integrated Report & Annual Accounts 2024-25 Climate change driving new business models The global focus on sustainability is transforming industries, emphasising energy-efficient solutions.",V,2,QA conflict resolution
S0309,jsw,2025,BRSR,"In line with the Company’s strategy to set up a green T he unit produced 0.45 MNTPA of plates and steel plant in order to cater to the export requirements, 0.041 MNTPA of pipes with capacity utilisation of manufacturing steel with low carbon emissions, the 47% and 7%, respectively.",S,2,QA conflict resolution
S0988,tata,2026,BRSR,These disclosures ensure transparency and consistency GoI is establishing emission reduction targets for steel in tracking environmental performance.,V,2,QA conflict resolution
S1044,ultratech,2020,BRR,"As the largest cement producer in India, the Company The Company continuously advocates the use of eco- continually strives to play a key role in finding effective friendly mining practices, use of alternative fuels, energy and responsible ways to preserve the environment.",V,2,QA conflict resolution
S0954,tata,2026,BRSR,"requires collaborative action across stakeholders, supportive policies, robust carbon pricing frameworks, stronger demand This report presents a holistic view of both climate and for green steel and affordable clean energy access.",V,2,QA conflict resolution
S0970,tata,2026,BRSR,"continued efforts to reduce Scope 3 carbon emissions, These waste heat recovery systems and dual-fired boilers the Company doubled the deployment of green vehicles improve energy efficiency and reduce emissions.",S,2,QA conflict resolution
S0786,tata,2025,BRSR,"The UK optimisation, and leveraging capital deployment to transition the business aims to reduce fixed costs Port Talbot facility to low-emission from £995 million in FY2023-24 to technology to improve asset steelmaking, supported by £500 £540 million in FY2025-26, while Tata health and process efficiency.",V,2,QA conflict resolution
S0310,jsw,2025,BRSR,"JSW Steel (USA) reported requirement to track the CO emissions separately and 2 an EBITDA of $20.2 million (I174 crore), compared exploring new technology like green hydrogen usage to $113.3 million (I940 crore) in FY 2023-24.",S,2,QA conflict resolution
S0340,tata,2019,BRR,"In Financial Year 2018-19, we spen pillars of emission, water management, circular economy and biodiv Four pillars for environmental management Emissions performance Water management Emissions performance The Paris agreement aims at arresting the global warming to <2 degrees celsius for which the key requirement is to make CO emission net zero by 2050.",S,2,QA conflict resolution
S0440,tata,2022,BRSR,"We are using system upgradations, focussed on online audits, unified dashboard Our approach to managing natural the improvement in air emissions, CO and real-time measurements to gain capital is underpinned by our abatement, water management and better and meaningful insights.",V,2,QA conflict resolution
S0770,tata,2025,BRSR,Target year for India's Net Zero Emission Source: Press Information Bureau Digital and AI as a source of competitive advantage Adoption of emerging digital technologies offers significant opportunities for the steel industry to create and unlock value.,V,2,QA conflict resolution
S0796,tata,2025,BRSR,"By prioritising these domains, Tata Steel aims to Key developments not only strengthen its IP portfolio but also drive innovation that aligns Waste Heat Recovery (WHR) and Utilisation with evolving market demands and environmental considerations.",V,2,QA conflict resolution
S0555,tata,2023,BRSR,"Several initiatives are being taken across shipping, logistics and with vendor partners to reduce Scope 3 emission for a future-ready sustainable supply Deploying EVs for steel transportation 102 116th Year Integrated Report & Annual Accounts 2022-23 Leveraging inland waterways for steel transportation Shipping Responsible Supply Chain Policy (RSCP) Tata Steel is the first and only Our RSCP aims to sensitise the In FY2022-23, 4 SPCs (processing 1 steel producing signatory to the supply chain partners on the need for MnTPA, ~55% volume) have moved Sea Cargo Charter to measure and adhering to the four ESG principles to Furnace oil and 4 SPCs (processing reduce environmental impacts of responsible supply chain i.e. 0.6 MnTPA, ~32% volume) to Low of global seaborne trade.",V,2,QA conflict resolution
S0280,jsw,2025,BRSR,Our roadmap to 2030 includes – a) Focus on Energy and Process Efficiency b) Energy Transition for De-carbonisation c) Improving the raw material quality d),V,2,QA conflict resolution
S0419,tata,2021,BRR,"Our engagements We are actively engaging with technology companies, and support in leading initiatives such as Responsible academia, companies from other sectors having similar Steel, Net Zero Steel Pathway methodology project, challenges on development and scale-up of deep Assessment of Low-Carbon Transition (ACT), World decarbonisation technologies such as CCUS, hydrogen Economic Forum’s Mining and Metal Blockchain Initiative generation and its use in steelmaking, use of biomass and and worldsteel's STEP-UP programme demonstrate our other alternate ironmaking routes.",S,2,QA conflict resolution
S0497,tata,2022,BRSR,"Performance About Stakeholders Value Statutory Financial Snapshot Tata Steel Leadership Strategy and Materiality Creation Reports Statements Metrics and targets We aspire to reduce our carbon footprint across our geographies, in line with national ambitions and have set the following targets for the same: Tata Steel Europe (The UK and the Netherlands) Reduce steelmaking carbon emissions in Europe by 30% by 2030 State-of-the-art steelmaking facility, Tata Steel Jamshedupr Works Tata Steel India Make our processes more sustainable and produce steel which is CO neutral by 2050 We aspire to achieve CO emission intensity of <2 tCO /tcs",V,2,QA conflict resolution
S0236,jsw,2024,BRSR,"has been recognised for leadership in corporate At Vijayanagar, a biodiversity initiative to develop a green transparency and performance in water security by belt at Sasan Vana Biodiversity Park spanning 240 acres global environmental non-profit cDP, securing a place of land has been initiated.",S,2,QA conflict resolution
S0389,tata,2020,BRR,The pilot plant level risks for long-term supply of water for of transitioning to a lower carbon regime.,V,2,QA conflict resolution
S0862,tata,2025,BRSR,"The upstream (DRI, Iron & Coke, Ferro (NINL), being functional from transition, backed by a £1.25 billion Alloys, Hooghly Met Coke) and November 2022, has been added investment, aims to enhance downstream units (rolling, tube into the scope of reporting since the UK's low-emission steel making, tinplating, wire drawing, FY2023-24.",S,2,QA conflict resolution
S0900,tata,2026,BRSR,Investors and Lenders Consistent returns on investments Investors and lenders build via capacity expansion and shift relationships providing financial toward low-emission steel; improved capital essential for growth and transparency and reliability in financial transition to a sustainable and non-financial reporting.,S,2,QA conflict resolution
S0798,tata,2025,BRSR,"Centre for Innovation on Environment and Intelligent Manufacturing Monash University and Tata Steel have signed an MoU to establish a Centre for Innovation on Environment and Intelligent Manufacturing, aimed at addressing global challenges such as decarbonisation, sustainable resource recovery, and smart manufacturing technologies.",S,2,QA conflict resolution
S0816,tata,2025,BRSR,"stormwater and treated water recovery at the Common Effluent At the same time, the emissions – Meramandali: 0.459 kg/tcs Treatment Plant from steel works affects the quality 51% reduction since acquisition in of air, a shared resource.",S,2,QA conflict resolution
S0829,tata,2025,BRSR,"Cleaner alternatives like EAF offer promise, but global efforts must balance technology, resource access, and financial viability to reduce emissions and enable a just and sustainable transition.",S,2,QA conflict resolution
