sentence_id,company,year,report_type,sentence_text,llm_label,llm_confidence,llm_top_features,llm_gw_risk,kee_label,kee_confidence,kee_notes,agreement_yn,annotated_at
UNMATCHED_S0026,jsw,2020,BRR,"- R eplacement of duct bends and plug duct leakages The approach has resulted in several environmental in proportioning house at the Dolvi plant to avoid initiatives to reduce carbon emission, conserve dust leakage from damaged ducts.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:24
S0025,jsw,2020,BRR,This increases efficiency of ESPs and reduces emissions.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:24
UNMATCHED_S0028,jsw,2020,BRR,"minimise waste and increase recirculation, recycling and enhancement of local biodiversity.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:24
UNMATCHED_S0029,jsw,2020,BRR,CONSERVATION OF NATURAL RESOURCES A) Water conservation and waste water treatment The Company has established a Board-level Business Water is a crucial input in steel manufacturing Responsibility Reporting Committee which reviews the operations.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:24
UNMATCHED_S0030,jsw,2020,BRR,focused water management initiatives to promote In light of the rapid developments related to climate responsible water use for better conservation and change viz.,V,1,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.15[promote],0.88,V,1,,Y,2026-07-16 21:27
UNMATCHED_S0031,jsw,2020,BRR,"T he following initiatives were carried out during the processes and capabilities to help the plants year: recycle and reuse the waste generated across - I n Vijayanagar, 18 effluent monitoring devices were installed at six locations.",?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,only uses terms like promote and reuse with substantial numeric data,N,2026-07-16 21:29
UNMATCHED_S0032,jsw,2020,BRR,F ollowing are the key waste management measures undertaken during the year: - The plant also began treatment of blast furnace recirculation water at SMS Gas - V ijayanagar expanded its slag sand plant with Cleaning Plant.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,Y,2026-07-16 21:29
UNMATCHED_S0033,jsw,2020,BRR,"It also reduces the - T he plant also supplied dry pit slag for road total dissolved solids (TDS) in outlet effluent, construction, and produced DRI Briquettes in resulting in lower water consumption.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:29
UNMATCHED_S0034,jsw,2020,BRR,"- V ijayanagar uses six RO plants for recovery of - I n order to reduce bentonite use in iron ore makeup water and reuses treated blowdown palletisation, Vijayanagar Works replaced 25% water for secondary applications, thereby of activated bentonite binder with fly ash in ensuring zero liquid discharge.",?,3,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.85[replaced],0.267,V,2,,N,2026-07-16 21:30
S0030,jsw,2020,BRR,"- I n Salem, wastewater from Ultrafiltration RO Plant and Multigrade Filter is diverted to recycled water treatment plants.",?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,N,2026-07-16 21:31
S0031,jsw,2020,BRR,The recycled water is reused for plant makeup water.,?,3,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,N,2026-07-16 21:32
S0032,jsw,2020,BRR,- E ffluent Treatment Plant installed at the Salem facility with a capacity of 125 KLD and a Zero Liquid Discharge system in Acid pickling plant to treat the effluent.,S,2,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; specific_tech=0.00[NONE],0.133,S,1,,Y,2026-07-16 21:32
UNMATCHED_S0038,jsw,2020,BRR,This will help reduce fresh water consumption by approximately Slag utilisation Liquid Discharge Effluent Treatment Plant with Blast Furnace slag and 0.8 MTPA of Conarc Slag.,?,3,vague_adj_ratio=0.00[NONE]; target_year=0.00[NONE]; verb_strength=0.10[NONE],0.267,S,3,,N,2026-07-16 21:32
UNMATCHED_S0039,jsw,2020,BRR,construction of break water structures using C) Recycling of solid waste steel slag.,V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,2,,Y,2026-07-16 21:33
S0035,jsw,2020,BRR,"T he Company’s integrated steel plants generate various types of solid waste as byproduct, such as fine dust from the pollution control systems, coke fines, slags, mill scales from other processes of steel manufacturing.",V,2,vague_adj_ratio=0.00[NONE]; quantifier_count=0.00[NONE]; target_year=0.00[NONE],0.4,V,1,,Y,2026-07-16 21:33
S0133,jsw,2021,BRR,"Performance Standards, OECD Guidelines, UNGC guidelines and ILO Principles, ILO Convention on Human Rights, Report on Affirmative Action by CII, National Action Plan on Climate Change, National Environmental Policy, UN Sustainable Development Goals, Global Reporting Initiative, Carbon Disclosure Project (CDP),Dow Jones Sustainability Index (DJSI) and Task Force on Climate-related Financial Disclosures (TCFD).",S,2,quantifier_count=0.00[NONE]; target_year=0.00[NONE]; specific_tech=1.00[iso 50001|tcfd|carbon disclosure project],0.441,S,3,,Y,2026-07-16 21:34
